timestamp_ms,frametime_ms,fps
1757230060252,8.320,120.20
1757230060262,9.176,108.98
1757230060270,8.751,114.27
1757230060277,7.672,130.34
1757230060286,8.322,120.17
1757230060294,8.351,119.74
1757230060303,8.332,120.01
1757230060312,8.705,114.88
1757230060319,8.802,113.61
1757230060328,7.654,130.66
1757230060336,8.230,121.51
1757230060345,8.729,114.56
1757230060353,7.948,125.83
1757230060362,8.579,116.57
1757230060371,8.855,112.93
1757230060378,7.671,130.36
1757230060386,8.592,116.39
1757230060395,8.367,119.51
1757230060403,8.283,120.73
1757230060412,8.409,118.92
1757230060421,9.432,106.03
1757230060428,7.639,130.91
1757230060437,8.306,120.40
1757230060445,8.300,120.49
1757230060453,8.333,120.01
1757230060462,9.061,110.36
1757230060472,9.343,107.03
1757230060480,7.519,133.00
1757230060488,8.157,122.59
1757230060496,8.612,116.12
1757230060504,8.110,123.30
1757230060513,8.243,121.31
1757230060522,9.242,108.20
1757230060529,7.677,130.26
1757230060538,8.679,115.22
1757230060546,7.794,128.31
1757230060554,8.528,117.26
1757230060563,8.563,116.78
1757230060572,9.041,110.61
1757230060579,7.657,130.61
1757230060588,8.245,121.28
1757230060596,8.344,119.85
1757230060604,8.324,120.13
1757230060613,8.373,119.43
1757230060623,9.455,105.77
1757230060630,7.643,130.83
1757230060639,8.406,118.96
1757230060647,8.232,121.48
1757230060655,8.344,119.85
1757230060663,8.351,119.75
1757230060673,9.264,107.95
1757230060681,7.637,130.94
1757230060688,8.278,120.81
1757230060697,8.330,120.05
1757230060705,8.786,113.82
1757230060714,8.281,120.76
1757230060724,9.519,105.05
1757230060731,7.287,137.22
1757230060740,8.779,113.91
1757230060748,8.565,116.75
1757230060757,8.977,111.40
1757230060766,9.098,109.92
1757230060774,7.583,131.87
1757230060782,8.344,119.84
1757230060791,8.395,119.12
1757230060799,8.251,121.20
1757230060807,8.337,119.95
1757230060816,9.172,109.03
1757230060823,7.589,131.77
1757230060832,8.250,121.21
1757230060841,8.442,118.45
1757230060849,8.628,115.90
1757230060858,8.306,120.39
1757230060867,9.110,109.77
1757230060873,7.578,131.96
1757230060883,8.573,116.65
1757230060891,8.150,122.70
1757230060899,8.475,118.00
1757230060908,8.588,116.44
1757230060917,8.835,113.18
1757230060924,7.585,131.84
1757230060933,8.504,117.59
1757230060942,8.415,118.84
1757230060949,8.168,122.43
1757230060958,9.006,111.03
1757230060967,9.089,110.02
1757230060976,8.346,119.82
1757230060984,8.098,123.48
1757230060993,8.354,119.71
1757230061001,8.734,114.50
1757230061010,8.304,120.43
1757230061019,9.134,109.48
1757230061026,7.529,132.82
1757230061035,8.501,117.63
1757230061043,8.147,122.74
1757230061051,8.336,119.96
1757230061059,8.798,113.66
1757230061069,9.140,109.41
